iso3,scenario,hiv,measure,date,best,lo,hi
BGD,Baseline,a,inc,2023-11-01,19.3447645827405,16.8986381160963,23.1215281771746
BGD,Baseline,a,inc,2023-12-01,19.3375093395787,16.8912241934116,23.1084564390116
BGD,Baseline,a,inc,2024-01-01,19.3303779560949,16.8839097037932,23.0955908543962
BGD,Baseline,a,inc,2024-02-01,19.3233683802418,16.8766928966235,23.0829285754552
BGD,Baseline,a,inc,2024-03-01,19.3164784917599,16.8695720718404,23.0704668072512
BGD,Baseline,a,inc,2024-04-01,19.3097064304482,16.8625454541704,23.0582028322424
BGD,Baseline,a,inc,2024-05-01,19.303050256525,16.8556114288698,23.0461339142885
BGD,Baseline,a,inc,2024-06-01,19.296508067157,16.8487684099361,23.0342572301368
BGD,Baseline,a,inc,2024-07-01,19.2900778074545,16.8420147962856,23.0225702690667
BGD,Baseline,a,inc,2024-08-01,19.283757854538,16.8353489421591,23.0110704286446
BGD,Baseline,a,inc,2024-09-01,19.277546341101,16.8287692200053,22.9997551348049
BGD,Baseline,a,inc,2024-10-01,19.2714414943396,16.8222743423563,22.9886217519493
BGD,Baseline,a,inc,2024-11-01,19.2654414810534,16.8158627604775,22.9776678440174
BGD,Baseline,a,inc,2024-12-01,19.2595446186772,16.8095330379892,22.9668909391556
BGD,Disruption,a,inc,2020-01-01,19.8568091285267,17.3863613502512,24.0051441551081
BGD,Disruption,a,inc,2020-02-01,19.8408731471034,17.3717222385861,23.9786476905657
BGD,Disruption,a,inc,2020-03-01,19.8252056819115,17.3573149292139,23.9525450260025
BGD,Disruption,a,inc,2020-04-01,19.8123254904203,17.3454192996125,23.9280176894141
BGD,Disruption,a,inc,2020-05-01,19.687328110507,17.2443788552101,23.7465215005095
BGD,Disruption,a,inc,2020-06-01,19.4616506888678,17.0639361527414,23.4189270191187
BGD,Disruption,a,inc,2020-07-01,19.4421265753419,17.0554775700538,23.3089536438236
BGD,Disruption,a,inc,2020-08-01,19.609316078828,17.1906142536749,23.4065553967255
BGD,Disruption,a,inc,2020-09-01,19.7673880535376,17.2964780725771,23.5078269279754
BGD,Disruption,a,inc,2020-10-01,19.9148306208485,17.39687216606,23.6101211119255
BGD,Disruption,a,inc,2020-11-01,20.0505472335522,17.4907795296342,23.7113456124405
BGD,Disruption,a,inc,2020-12-01,20.1650344315851,17.5774654056582,23.8097959690364
BGD,Disruption,a,inc,2021-01-01,20.2533847556197,17.6574363119641,23.9048510307249
BGD,Disruption,a,inc,2021-02-01,20.3349216846505,17.7286345406635,23.9943325781411
BGD,Disruption,a,inc,2021-03-01,20.4078233039695,17.7894976681614,24.0762253399218
BGD,Disruption,a,inc,2021-04-01,20.4724142761847,17.8410993382094,24.1504383149405
BGD,Disruption,a,inc,2021-05-01,20.5272725381178,17.8821173355459,24.2154176368104
BGD,Disruption,a,inc,2021-06-01,20.5712132945735,17.9116485995579,24.2697500466527
BGD,Disruption,a,inc,2021-07-01,20.605264978002,17.9314503898631,24.3140333089542
BGD,Disruption,a,inc,2021-08-01,20.6306447068982,17.9432418964076,24.3491671728435
BGD,Disruption,a,inc,2021-09-01,20.648497845599,17.948464638291,24.3760852666242
BGD,Disruption,a,inc,2021-10-01,20.6598719110218,17.948321960084,24.3957022570562
BGD,Disruption,a,inc,2021-11-01,20.6541833691176,17.9438147224253,24.4088835172462
BGD,Disruption,a,inc,2021-12-01,20.6422029975784,17.9357728943153,24.4164290110049
BGD,Disruption,a,inc,2022-01-01,20.6271346719689,17.9248832222711,24.419066803123
BGD,Disruption,a,inc,2022-02-01,20.6097173418129,17.9117128229755,24.4174520531715
BGD,Disruption,a,inc,2022-03-01,20.5905357375968,17.8967292547938,24.4121691281762
BGD,Disruption,a,inc,2022-04-01,20.5700510598206,17.8803173706932,24.4037362775806
BGD,Disruption,a,inc,2022-05-01,20.5486255644871,17.8627937086162,24.3926105465242
BGD,Disruption,a,inc,2022-06-01,20.5265449423564,17.8444181405091,24.3791930224369
BGD,Disruption,a,inc,2022-07-01,20.5040323940864,17.8254035692937,24.3638359887299
BGD,Disruption,a,inc,2022-08-01,20.4812617930372,17.8059246816353,24.3468460375063
BGD,Disruption,a,inc,2022-09-01,20.458370458698,17.7861236963039,24.3284910878927
BGD,Disruption,a,inc,2022-10-01,20.4354629715908,17.7661172493693,24.3090030915738
BGD,Disruption,a,inc,2022-11-01,20.4126224204515,17.7460001671115,24.2885848536822
BGD,Disruption,a,inc,2022-12-01,20.3899115867046,17.7258486948872,24.2674109359875
BGD,Disruption,a,inc,2023-01-01,20.3673785783565,17.7057260481561,24.2456322219908
BGD,Disruption,a,inc,2023-02-01,20.3450605994249,17.6856815491178,24.2233805342806
BGD,Disruption,a,inc,2023-03-01,20.3229859536691,17.6657560222715,24.2007673324629
BGD,Disruption,a,inc,2023-04-01,20.3011746279458,17.6459814750984,24.1778908017132
BGD,Disruption,a,inc,2023-05-01,20.2796419685569,17.6263837037993,24.154834024781
BGD,Disruption,a,inc,2023-06-01,20.2583987487515,17.6069825711878,24.1316676436831
BGD,Disruption,a,inc,2023-07-01,20.2374522800142,17.5877936328028,24.1084548351545
BGD,Disruption,a,inc,2023-08-01,20.2168071083975,17.5688284598507,24.0852466633079
BGD,Disruption,a,inc,2023-09-01,20.1964661492582,17.5500966571462,24.0620881919007
BGD,Disruption,a,inc,2023-10-01,20.1764303092489,17.5316041156925,24.039017304851
BGD,Disruption,a,inc,2023-11-01,20.1566982042323,17.5133552735218,24.0160662839273
BGD,Disruption,a,inc,2023-12-01,20.1372707067549,17.4953534276945,23.9932626706363
BGD,Disruption,a,inc,2024-01-01,20.1181436850106,17.4775996367593,23.9706297583275
