iso3,year,hiv,tb,ill_def,tb_seq,total,prop.tb,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,vr.coverage,tb.adj,tb.adj.sd,pop
BEL,2003,55,53,2739,39,106209,0.000499016090915083,53,0.0257887749625738,0.0257887749625738,92,0.423913043478261,0.000889146612544699,high,100,100,81,85,yes,TRUE,100,92,0.00593294827607149,10419029
BEL,2004,69,42,2536,30,101254,0.000414798427716436,42,0.02504592411164,0.02504592411164,72,0.416666666666667,0.000729350270467392,high,100,100,81,85,yes,TRUE,100,72,0.00450939575993559,10480118
BEL,2005,59,65,2542,23,102933,0.000631478728881894,65,0.0246956758279658,0.0246956758279658,88,0.261363636363636,0.000876572601129583,high,100,100,81,85,yes,TRUE,100,88,0.00543439074167518,10546885
BEL,2006,49,40,2644,19,100102,0.000399592415735949,40,0.0264130586801463,0.0264130586801463,59,0.322033898305085,0.000605388988076915,high,100,100,81,85,yes,TRUE,100,59,0.00389695546045371,10619484
BEL,2007,49,51,2644,33,101384,0.000503037954706857,51,0.0260790657302928,0.0260790657302928,84,0.392857142857143,0.000850719060157991,high,100,100,81,85,yes,TRUE,100,84,0.00547803242303857,10697576
BEL,2008,53,51,2666,25,103757,0.000491533101381112,51,0.0256946519270989,0.0256946519270989,76,0.328947368421053,0.000751797885073844,high,100,100,81,85,yes,TRUE,100,76,0.00488323859730722,10778764
BEL,2009,43,36,2970,22,103815,0.00034677069787603,36,0.0286085825747724,0.0286085825747724,58,0.379310344827586,0.000575140066438594,high,100,100,81,85,yes,TRUE,100,58,0.0041494315668994,10859934
BEL,2010,58,26,5013,31,105152,0.000247261107729763,26,0.0476738435788192,0.0476738435788192,57,0.543859649122807,0.000569208799768322,high,100,100,81,85,yes,TRUE,100,57,0.00679676298813703,10938735
BEL,2011,44,34,5308,16,104292,0.000326007747478234,34,0.050895562459249,0.050895562459249,50,0.32,0.000505132142568496,high,100,100,81,85,yes,TRUE,100,50,0.00636518490406413,11013860
BEL,2012,39,32,6010,24,109076,0.000293373427701786,32,0.0550991968902417,0.0550991968902417,56,0.428571428571429,0.000543341160033377,high,100,100,81,85,yes,TRUE,100,56,0.00771814019789785,11085355
BEL,2013,53,28,6006,25,109334,0.000256095999414638,28,0.0549325918744398,0.0549325918744398,53,0.471698113207547,0.000512929699597399,high,100,100,81,85,yes,TRUE,100,53,0.00728256892722806,11154008
BEL,2014,35,23,5976,16,104755,0.000219559925540547,23,0.0570473963056656,0.0570473963056656,39,0.41025641025641,0.000394820761497889,high,100,100,81,85,yes,TRUE,100,39,0.00556529599626449,11221225
BEL,2015,29,31,6477,26,110541,0.000280438932160918,31,0.0585936439872988,0.0585936439872988,57,0.456140350877193,0.000547739852398524,high,100,100,81,85,yes,TRUE,100,57,0.0083544894680051,11287931
BEL,2016,36,18,6718,12,108097,0.000166517109633015,18,0.0621478856952552,0.0621478856952552,30,0.4,0.000295919273222265,high,100,100,81,85,yes,TRUE,100,30,0.00466398999831696,11354407
BGR,2000,0,318,5678,15,115087,0.00276312702564147,318,0.0493365888414851,0.0493365888414851,333,0.0450450450450451,0.00304362529590802,medium,100,100,65,80,yes,TRUE,100,333,0.0410929840871458,7997951
BGR,2001,0,285,5439,14,112368,0.00253630926954293,285,0.0484034600598035,0.0484034600598035,299,0.0468227424749164,0.00279624797763002,medium,100,100,65,80,yes,TRUE,100,299,0.0361991080154976,7930700
BGR,2002,0,283,4827,4,112617,0.00251294209577595,283,0.04286209009297,0.04286209009297,287,0.0139372822299652,0.00266258465534836,medium,100,100,65,80,yes,TRUE,100,287,0.0307667369082026,7866242
BGR,2003,0,275,5080,1,111927,0.0024569585533428,275,0.0453867252762962,0.0453867252762962,276,0.0036231884057971,0.00258313289095623,medium,100,100,65,80,yes,TRUE,100,276,0.0313310605830455,7804306
BGR,2004,0,268,4724,1,110110,0.00243392970665698,268,0.0429025519934611,0.0429025519934611,269,0.00371747211895911,0.00255252120775056,medium,100,100,65,80,yes,TRUE,100,269,0.0288643497582705,7744630
BGR,2005,2,270,3181,4,113374,0.00238149840351403,270,0.0280575793391783,0.0280575793391783,274,0.0145985401459854,0.00248654633234416,medium,100,100,65,80,yes,TRUE,100,274,0.0192248358709229,7686964
BGR,2006,2,256,3351,14,113438,0.00225673936423421,256,0.0295403656623001,0.0295403656623001,270,0.0518518518518519,0.00245260566642746,medium,100,100,65,80,yes,TRUE,100,270,0.0199456388367003,7631020
BGR,2007,1,269,2813,6,113004,0.00238044670985098,269,0.0248929241442781,0.0248929241442781,275,0.0218181818181818,0.00249566661524081,medium,100,100,65,80,yes,TRUE,100,275,0.0171181465564385,7576675
BGR,2008,3,228,2933,3,110523,0.00206291903042806,228,0.0265374627905504,0.0265374627905504,231,0.012987012987013,0.00214703968770332,medium,100,100,65,80,yes,TRUE,100,231,0.0153294528093837,7524084
BGR,2009,1,191,3207,6,108068,0.00176740570751749,191,0.0296757597068512,0.0296757597068512,197,0.0304568527918782,0.00187867748734038,medium,100,100,65,80,yes,TRUE,100,197,0.0146196501478737,7473509
BGR,2010,7,197,3396,1,110165,0.00178822675078292,197,0.0308264875414152,0.0308264875414152,198,0.00505050505050505,0.00185447086701196,medium,100,100,65,80,yes,TRUE,100,198,0.0152638166315359,7425011
BGR,2011,11,168,3559,1,108258,0.00155184836224575,168,0.0328751685787655,0.0328751685787655,169,0.00591715976331361,0.00161415104251234,medium,100,100,65,80,yes,TRUE,100,169,0.0138943265077919,7378652
