iso3,year,pop,c.newinc
BFA,2003,12654624,2620
BFA,2004,13030576,2876
BFA,2005,13421935,3478
BFA,2006,13829173,3909
BFA,2007,14252029,3935
BFA,2008,14689725,4238
BFA,2009,15141098,4716
BFA,2010,15605211,4800
BFA,2011,16081915,5286
BFA,2012,16571252,5210
BFA,2013,17072791,5326
BFA,2014,17586029,5546
BFA,2015,18110616,5594
BFA,2016,18646350,5677
BFA,2017,19193236,5610
BFA,2018,19751466,5995
BFA,2019,20321383,4918
BFA,2020,20903278,5691
BGD,1980,79639498,39774
BGD,1981,81767516,42644
BGD,1982,83932132,49870
BGD,1983,86142490,52961
BGD,1984,88416529,45679
BGD,1985,90764180,41802
BGD,1986,93187593,45599
BGD,1987,95671159,45355
BGD,1988,98186350,44280
BGD,1989,100695496,45191
BGD,1990,103171957,48673
BGD,1991,105599125,56052
BGD,1992,107983708,31400
BGD,1993,110350641,54001
BGD,1994,112737684,48276
BGD,1995,115169933,56437
BGD,1996,117649927,63471
BGD,1997,120160571,63420
BGD,1998,122682818,72256
BGD,1999,125189655,79339
BGD,2000,127657862,75557
BGD,2001,130088709,76302
BGD,2002,132478077,83485
BGD,2003,134791598,88156
BGD,2004,136986429,98336
BGD,2005,139035505,123118
BGD,2006,140921154,145186
BGD,2007,142660381,147342
BGD,2008,144304164,151062
BGD,2009,145924795,160875
BGD,2010,147575433,153892
BGD,2011,149273134,154358
BGD,2012,151005733,168683
BGD,2013,152761413,184506
BGD,2014,154517385,191166
BGD,2015,156256287,206915
BGD,2016,157977151,222248
BGD,2017,159685421,242639
BGD,2018,161376713,267143
BGD,2019,163046173,291595
BGD,2020,164689383,230081
BGR,1980,8878787,3280
BGR,1981,8905097,3007
BGR,1982,8930708,2999
BGR,1983,8953122,2892
BGR,1984,8968909,2856
BGR,1985,8975353,2555
BGR,1986,8972555,2530
BGR,1987,8960554,2352
BGR,1988,8936652,2387
BGR,1989,8897541,2301
BGR,1990,8841466,2256
BGR,1991,8767000,2606
BGR,1992,8676379,3096
BGR,1993,8576042,3213
BGR,1994,8474822,5296
BGR,1995,8379305,3245
BGR,1996,8291970,3109
BGR,1997,8211804,3437
BGR,1998,8137669,4117
